"ID","Type","RVA","Subsys","Path","Stmt"
"U-5427","structural","0x004dba60","render","decomp_function callers of FUN_004dba60","`unaff_retaddr` used as prim-type index — Ghidra missed a register-passed arg; likely prim-type re-fed from caller's stack"
"U-5428","structural","0x004dc160","render","decomp surrounding matrix functions; check for SIMD patterns","Dual identical aligned/unaligned branches — defensive SSE alignment-fastpath not diverged in this build; whether SSE was used originally unconfirmed"
"U-5584","structural","0x0041d410","hud","decomp_function 0x0041d870","Calling convention unresolved — Ghidra reports unknown; EAX holds this"
"U-5585","semantic","0x0041d410","hud","decomp_function one of the child-object constructors","Vtable slot 0x48 (index 18) semantics unknown — virtual method purpose not named"
"U-5586","structural","0x0041de80","hud","decomp_function FUN_0041ded0 + search_pcode ESI write site","ESI base object type unknown; may be same struct as EAX in FUN_0041d410 or a different HUD manager"
"U-5587","semantic","0x0041de80","hud","search_pcode / search_constants for DAT_007f1a1c","DAT_007f1a1c value and semantics unknown — used as base for 5th dispatch slot index (index = DAT_007f1a1c+7)"
"U-5588","structural","0x0041de80","hud","decomp_function 0x0041ded0 + trace ESI[0x14]","Double-indirect dispatch at 0x0041dec0 when param_1!=0: slot=ESI[ESI[0x14]+2]; Ghidra could not decode jump table"
"U-5589","structural","0x0041e630","hud","decomp_function 0x0041e850","EDI calling convention unconfirmed by Ghidra (unknown); treat as this-in-EDI"
"U-5590","semantic","0x0041e630","hud","search_pcode for stores at +0x188..0x190","Three int values at EDI+0x188/0x18c/0x190 semantics unknown (score/timer/lap?)"
"U-5591","semantic","0x00427f00","hud","decomp_function vtable-holder at 0x007d3ff8","Global object at DAT_007d3ff8 vtable slot 0x20 called with (9,2) — purpose unknown"
"U-5592","structural","0x00427f00","hud","decomp_function 0x00556e90","FUN_00556e90 receives &param_4 four times — unclear if param_4 is a struct or Ghidra misidentified separate params"
"U-5595","semantic","0x00458630","frontend","search_pcode / search_constants for 0x0068b9ac","DAT_0068b9ac type and role unknown; first arg to every FUN_004c5c00 lookup call; likely asset manager"
"U-5596","semantic","0x00458630","frontend","decomp_function 0x004c5c00","FUN_004c5c00 return type unknown — used as sprite/texture handle or object pointer in context"
"U-5614","semantic","0x00552b90","hud","decomp_function 0x004c5770","FUN_004c5770 — purpose of per-slot call (destructor, release, or decref) unconfirmed"
"U-5615","semantic","0x00552b90","hud","decomp_function 0x00552a60","FUN_00552a60(0) — role of trailing call with arg 0 (reset, uninit, or other) unconfirmed"
"U-5616","semantic","0x00553f40","hud","decomp_function 0x005c4ad0","FUN_005c4ad0 — whether this is a general-purpose pool allocator or font-specific; pool type 0x301a1 backing unconfirmed"
"U-5617","semantic","0x00553f40","hud","decomp_function 0x005c4c60","FUN_005c4c60(iVar2, iVar3, 0x301a1) — whether it resizes the block in-place or allocates a fresh one"
"U-5618","structural","0x00553f40","hud","search_pcode for writes to node+5 offset","param_1[5] linked-list chain depth and termination condition not confirmed beyond null guard at entry"
"U-5619","semantic","0x00554050","hud","decomp_function 0x005c4d50","FUN_005c4d50 exact purpose when node[1]==-1 — whether it frees a packed indirect block or does something else"
"U-5620","semantic","0x00554050","hud","decomp_function 0x00553e80","FUN_00553e80(iVar1) — whether it recursively frees all remaining linked nodes or only one level"
"U-5621","semantic","0x005540d0","hud","search_constants for 0x301a1 and 0x401a1","Pool type 0x301a1 vs 0x401a1 — whether these encode different allocation arenas or differ only in flags"
"U-5622","structural","0x005540d0","hud","decomp_function 0x004cc820 + search_pcode for writes to 0x623e8c","DAT_00623e8c and DAT_00623e90 — values stored there (pool descriptor fields) not traced in this session"
"U-5623","semantic","0x005540d0","hud","listing_code_units_list 0x00554138..0x00554149","Second unconditional call to FontGlyph_UploadData after store to DAT_00912a28 — intentional double-upload or decompiler artifact"
"U-5625","semantic","0x00555280","hud","decomp_function 0x00555830","FUN_00555830 — purpose of per-node field[1] teardown (destructor, reference drop, or other) unconfirmed"
"U-5626","semantic","0x00555280","hud","decomp_function 0x004c5930","FUN_004c5930 — purpose of single-arg call on DAT_00912a1c (texture release, RW object free, or other) unconfirmed"
"U-5644","structural","0x005551d0","hud","decomp_function FUN_00554390","`DAT_00912a08` type unconfirmed — passed as first arg to vtable+0x118; likely a heap/pool manager object but type not resolved from this function alone"
"U-5645","semantic","0x005551d0","hud","reference_to 0x00554940","`LAB_00554940` stored at ctx+0x138 — role (function pointer vs data label) unconfirmed"
"U-5646","structural","0x00555360","hud","decomp_function 0x004cc820","`thunk_FUN_004cc820` role unconfirmed — called twice with size+tag args; appears to be pool/heap allocator"
"U-5647","semantic","0x00555360","hud","reference_to DAT_00912704 in rendering functions","Char-width table init at DAT_00912704: stride-6 / value+4 pattern — exact advance-table layout formula unconfirmed"
"U-5648","structural","0x00555360","hud","function_create 0x00555910 in master","`_DAT_00913100 = &LAB_00555910` stores LAB_ address as global callback — function at 0x00555910 not defined in Ghidra"
"U-5650","structural","0x00555af0","hud","decomp_function callers","`param_2` — used in sprintf + FUN_004c5cb0; likely font name string but type/calling-convention unconfirmed"
"U-5651","structural","0x00555af0","hud","decomp_function 0x00550a20","`param_3` — passed as third arg to FUN_00550a20; exact semantics (base path vs file handle vs other) unconfirmed"
"U-5652","structural","0x00555af0","hud","decomp_function 0x004ce2d0","`FUN_004ce2d0(DAT_00912a0c)` — activates a VFS path context before file open; exact VFS API (RtFSManager or custom) not confirmed"
"U-5653","structural","0x00555f20","hud","reference_to DAT_0091325c across all callers","`DAT_0091325c` lifetime: no null-check performed before read; confirm it is always valid on entry"
"U-5654","semantic","0x00555ff0","hud","inspect font atlases via piz tool","Glyph advance ratio formula `((col_span - 3) / (row_span - 3))`: `-3` offset convention (border+shadow+gap) not confirmed"
"U-5655","structural","0x00555ff0","hud","memory_read 0x005cd088 and 0x005cc32c","Two distinct 0.5f constants at 0x005cd088 and 0x005cc32c used for left/top vs right/bottom UV offsets — may be same constant at different data addresses or intentional difference"
"U-5656","structural","0x00555ff0","hud","reference_to pattern: find all reads at stride-0x20 + 0x1c","`local_54` serves dual role: retry-round counter (0..3) AND glyph-entry `[+0x1c]` source-atlas-index byte; exact meaning of `[+0x1c]` in context struct unconfirmed"
"U-5674","structural","0x00556ca0","hud","decomp_function on all 4 callers","Offset `0x138` into `param_1`: type of param_1 (vtable struct vs. function-pointer array) unresolved"
"U-5675","structural","0x00556ca0","hud","listing_disassemble_range 0x00556ca0–0x00556cb5","Indirect jmp at 0x00556cb0 treated as call by Ghidra; actual calling convention and arg count to target unknown"
"U-5678","semantic","0x00556ce0","hud","search_constants 0x10c at 0x007d3ff8 region","Vtable slot +0x10c off DAT_007d3ff8: exact RW API name for Im2D buffer destructor unconfirmed"
"U-5679","semantic","0x00556d20","hud","search_constants 0x108 at 0x007d3ff8 region","Vtable slot +0x108 off DAT_007d3ff8: exact RW API name for Im2D buffer allocator unconfirmed"
"U-5680","semantic","0x00556d20","hud","decomp_function 0x004cc820","DAT_00623f60 and DAT_00623f64 passed to RwFreeList ctor: roles as heap-funcs or size limits unconfirmed"
"U-5681","semantic","0x00556d20","hud","decomp_function 0x004cc820","DAT_007dc7e8 passed by reference to RwFreeList ctor: whether hint-object, arena, or size-limit unconfirmed"
"U-5682","semantic","0x00556d70","hud","search_constants 0x118 at 0x007d3ff8 region","Vtable slot +0x118 off DAT_007d3ff8: exact RW API for freelist-alloc unconfirmed"
"U-5683","structural","0x00556d70","hud","decomp_function 0x00556e90","FUN_00556e90 called with 4 identical pointers to same 0xFF byte: whether 4 independent channel args or one RGBA struct unconfirmed"
"U-5684","structural","0x00556d70","hud","decomp_function 0x00557110","FUN_00557110 called with 4 identical zero pointers: meaning of 4 args (position? padding?) unconfirmed"
"U-5685","semantic","0x00556d70","hud","decomp_function 0x004c5a60","puVar1[0x1a] (offset 0x68): type of resource freed by FUN_004c5a60 when non-NULL unconfirmed"
"U-5704","semantic","0x005571e0","hud","search_pcode / search_constants for write sites","DAT_00623f68 and DAT_00623f6c contents unknown — pool config struct layout not decomped"
"U-5705","semantic","0x00557250","hud","search_pcode / search_constants for write sites","DAT_00623f70/f74/f78/f7c contents unknown — pool config struct layout not decomped"
