"ID","Type","Where","Stmt","Ev","Path"
"U-5162","structural","0x004cf5a0 (FUN_004cf5a0)","**CONFIRMED 2026-09-11 - the concern is REAL, and the pass-3 claim that dismissed it was reading a different function.** The claim quoted `uVar5 = 0x80; if (uVar6 < 0x81) { uVar5 = uVar6; }` as proof of a bound. That code is in `FUN_004d8810`, and it clamps only the **scratch read chunk**, not the destination. `0x004cf5a0` declares TWO 128-byte stack buffers (`undefined1 local_100 [128];` and `undefined1 local_80 [128];`) and hands each to `FUN_004d8810` as the DESTINATION: `iVar2 = FUN_004d8810(local_80,param_1);` and `iVar2 = FUN_004d8810(local_100,param_1);`. Inside `FUN_004d8810` the total written into that destination is `local_9c`, which is read from the stream chunk header by `FUN_004cc400(param_2,&local_84,&local_9c,local_90,0)` and is **never compared against 128** - the `local_84 == 2` path copies `local_9c` bytes and the `local_84 == 0x13` path copies `local_9c / 2`. So a stream-supplied length drives the write into a fixed 128-byte stack buffer. **[UNCERTAIN]** whether any shipped asset actually supplies a length above the bound is untested; this is a statement about the code path, not an observed overflow. Keeps gating, and the type is raised from a parsing note to a memory-safety item for the port. **STRENGTHENED 2026-09-11 (later the same day): the length is NOT validated, and that is now READ rather than assumed.** `FUN_004cc400` is `RwStreamReadChunkHeader` and became available after the master-Ghidra repair. It reads a fixed 12-byte header with `iVar1 = FUN_004cbd30(param_1,&local_20,0xc);`, checks ONLY that 12 bytes arrived (`if (iVar1 != 0xc) { ... return 0; }`), and then hands the caller the raw dwords: `local_10 = local_1c;` then `if (param_3 != 0) { *param_3 = local_10; }`. In the caller that `param_3` is `&local_9c`, so **`local_9c` is the second dword of the file header, passed through unchecked** - there is no comparison against any capacity anywhere in its 231 bytes. The earlier note that its validation was unread is now closed: there is none.","confirm RW stream serializer caps name at 128 bytes","check RwString stream-read helpers for size constraint"
"U-5375","structural","0x004d84e0 (RwResourcesEmptyArena_PopSlot)","No caller observed in Ghidra or prior sessions — cannot confirm call-site context","search hooks.csv for resource-arena callee references","decomp_function all resource-arena callers"
"U-5377","semantic","0x004d87a0 (RwStringStreamWrite)","0x37002 arg to FUN_004cc580 — exact chunk-type semantic unconfirmed","FUN_004cc580 not yet decomped","decomp_function 0x004cc580"
"U-5379","structural","0x004d8eb0 (RwResourcesDrainArena)","Indirect destructor callback at node[5]: resource-node object type unknown","trace resource-node registration sites","search all PUSH+MOV patterns writing to node[5] offset"
"U-5381","structural","0x004d8470 (rwID_ERRORMODULE_dtor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5382","structural","0x004d8530 (rwID_PIPEMODULE_ctor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5384","structural","0x004d8550 (rwID_PIPEMODULE_dtor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5386","structural","0x004d8a80 (rwID_RESOURCESMODULE_ctor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5388","structural","0x004d8b70 (rwID_RESOURCESMODULE_dtor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5390","structural","0x004d8fa0 (rwID_CHUNKGROUPMODULE_ctor)","Ghidra does not recognize function boundary (LAB_ not FUN_)","Ghidra auto-analysis missed function start","D-8560"
"U-5403","structural","0x004d9530 (FUN_004d9530)","Byte at `puVar[6]` cleared during partition reset — role (in-use flag vs. other sentinel) unconfirmed; mechanical description complete without knowing it","Trace partition-reset site; check if any reader tests this byte","decomp_function FUN_004d9530 + search_pcode for reads at offset +6*4"
"U-5425","structural","0x004db2e0 (FUN_004db2e0)","FUN_004cdca0/FUN_004cdd60/FUN_004cdd00/FUN_004cecb0 shapes match RtImageNew/RtImageCopy pattern but not verified against exported names","Decomp each callee; cross-check against RenderWare RT image API","decomp_function on each callee"
"U-5428","structural","0x004dc160 (FUN_004dc160)","Dual identical aligned/unaligned branches — defensive SSE alignment-fastpath not diverged in this build; whether SSE was used originally unconfirmed","Compare against RW3 matrix transform reference","decomp surrounding matrix functions; check for SIMD patterns"
"U-5585","semantic","0x0041d410 (FUN_0041d410)","Vtable slot 0x48 (index 18) semantics unknown — virtual method purpose not named","Trace vtable layout of child object type; decomp one child object ctor or cross-ref","decomp_function one of the child-object constructors"
"U-5586","structural","0x0041de80 (FUN_0041de80)","ESI base object type unknown; may be same struct as EAX in FUN_0041d410 or a different HUD manager","Trace common callers; compare struct layout","decomp_function FUN_0041ded0 + search_pcode ESI write site"
"U-5587","semantic","0x0041de80 (FUN_0041de80)","**WRITE SET COMPLETE 2026-09-11, value still unread.** Same global as [[U-4313]], which records the four write sites (`0x0043e575`, `0x0043e57e`, `0x0042baf8`, `0x0043f8d5`). What this row needs beyond that is the VALUE reaching the 5th dispatch slot index, and the two direct writes store registers rather than immediates, so it is call-path-dependent and not a constant. Keeps gating.","Search write sites for 0x007f1a1c","search_pcode / search_constants for DAT_007f1a1c"
"U-5588","structural","0x0041de80 (FUN_0041de80)","Double-indirect dispatch at 0x0041dec0 when param_1!=0: slot=ESI[ESI[0x14]+2]; Ghidra could not decode jump table","Decomp FUN_0041ded0 to understand param_1 values; trace ESI[0x14] write sites","decomp_function 0x0041ded0 + trace ESI[0x14]"
"U-5589","structural","0x0041e630 (FUN_0041e630)","EDI calling convention unconfirmed by Ghidra (unknown); treat as this-in-EDI","Confirm via caller FUN_0041e850","decomp_function 0x0041e850"
"U-5590","semantic","0x0041e630 (FUN_0041e630)","Three int values at EDI+0x188/0x18c/0x190 semantics unknown (score/timer/lap?)","Trace write sites for EDI+0x188..0x190 range","search_pcode for stores at +0x188..0x190"
"U-5591","semantic","0x00427f00 (FUN_00427f00)","**OBJECT IDENTIFIED 2026-09-11, slot NAME still needs an external reference.** `DAT_007d3ff8` is a pointer to the structure at `DAT_007d3ec8`: two of its six writes store the literal address, `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` and `0x004c32b7`, and the block itself is filled by `MOVSD.REP` at `0x004c307a` / `0x004c31cd` (see [[U-0091]]). So the object behind every `DAT_007d3ff8 + N` dispatch in the tree is that 300-byte block. **What this does NOT give is the RenderWare API name for the slot** - that needs RW headers or librw, not the binary, and guessing it from behaviour is the inference NO-GUESSING forbids (the same refusal as [[U-4707]]). Keeps gating; this is now the NEEDS-EXTERNAL lane. Slot in question: `+0x20`, called with `(9,2)`.","Decomp vtable holder; search write site for 0x007d3ff8","decomp_function vtable-holder at 0x007d3ff8"
"U-5595","semantic","0x00458630 (FUN_00458630)","**SINGLE WRITER IDENTIFIED 2026-09-11.** `decomp_pc.py --datarefs` over the anchored program (reference-manager query, writes and reads separated) gives exactly one write to `DAT_0068b9ac`: `0x004587e6 MOV [0x0068b9ac],EAX` in `FUN_004587a0`, against 13 reads. So the global is assigned once, from that function's EAX, and every other use is a read. Naming its type needs `FUN_004587a0`'s body - a single bounded target now, rather than an open search. Keeps gating.","Search write sites for 0x0068b9ac","search_pcode / search_constants for 0x0068b9ac"
"U-5618","structural","0x00553f40 (FontGlyph_UploadData)","param_1[5] linked-list chain depth and termination condition not confirmed beyond null guard at entry","Trace all write sites of node[5] field","search_pcode for writes to node+5 offset"
"U-5644","structural","0x005551d0 (FUN_005551d0)","`DAT_00912a08` type unconfirmed — passed as first arg to vtable+0x118; likely a heap/pool manager object but type not resolved from this function alone","Decomp callers of FUN_005551d0","decomp_function FUN_00554390"
"U-5647","semantic","0x00555360 (FUN_00555360)","Char-width table init at DAT_00912704: stride-6 / value+4 pattern — exact advance-table layout formula unconfirmed","Compare against known font advance table layouts","reference_to DAT_00912704 in rendering functions"
"U-5652","structural","0x00555af0 (FontCtx_LoadMetrics_Met)","`FUN_004ce2d0(DAT_00912a0c)` — activates a VFS path context before file open; exact VFS API (RtFSManager or custom) not confirmed","Decomp FUN_004ce2d0","decomp_function 0x004ce2d0"
"U-5654","semantic","0x00555ff0 (FontCtx_LoadMetrics_Atlas)","Glyph advance ratio formula `((col_span - 3) / (row_span - 3))`: `-3` offset convention (border+shadow+gap) not confirmed","Compare against actual .piz font atlas images","inspect font atlases via piz tool"
"U-5656","structural","0x00555ff0 (FontCtx_LoadMetrics_Atlas)","`local_54` serves dual role: retry-round counter (0..3) AND glyph-entry `[+0x1c]` source-atlas-index byte; exact meaning of `[+0x1c]` in context struct unconfirmed","Check all readers of glyph-entry `[+0x1c]` field","reference_to pattern: find all reads at stride-0x20 + 0x1c"
"U-5674","structural","0x00556ca0 (FUN_00556ca0)","Offset `0x138` into `param_1`: type of param_1 (vtable struct vs. function-pointer array) unresolved","Decomp callers 0x00427e00/0x00427f00/0x00427ff0/0x00428140 to trace param_1 origin","decomp_function on all 4 callers"
"U-5678","semantic","0x00556ce0 (FontSys_ShutdownBuffers)","**OBJECT IDENTIFIED 2026-09-11, slot NAME still needs an external reference.** `DAT_007d3ff8` is a pointer to the structure at `DAT_007d3ec8`: two of its six writes store the literal address, `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` and `0x004c32b7`, and the block itself is filled by `MOVSD.REP` at `0x004c307a` / `0x004c31cd` (see [[U-0091]]). So the object behind every `DAT_007d3ff8 + N` dispatch in the tree is that 300-byte block. **What this does NOT give is the RenderWare API name for the slot** - that needs RW headers or librw, not the binary, and guessing it from behaviour is the inference NO-GUESSING forbids (the same refusal as [[U-4707]]). Keeps gating; this is now the NEEDS-EXTERNAL lane. Slot in question: `+0x10c`.","Cross-ref vtable at 0x007d3ff8 against RW3 headers","search_constants 0x10c at 0x007d3ff8 region"
"U-5679","semantic","0x00556d20 (FontSys_InitBuffers)","**OBJECT IDENTIFIED 2026-09-11, slot NAME still needs an external reference.** `DAT_007d3ff8` is a pointer to the structure at `DAT_007d3ec8`: two of its six writes store the literal address, `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` and `0x004c32b7`, and the block itself is filled by `MOVSD.REP` at `0x004c307a` / `0x004c31cd` (see [[U-0091]]). So the object behind every `DAT_007d3ff8 + N` dispatch in the tree is that 300-byte block. **What this does NOT give is the RenderWare API name for the slot** - that needs RW headers or librw, not the binary, and guessing it from behaviour is the inference NO-GUESSING forbids (the same refusal as [[U-4707]]). Keeps gating; this is now the NEEDS-EXTERNAL lane. Slot in question: `+0x108`.","Cross-ref vtable at 0x007d3ff8 against RW3 headers","search_constants 0x108 at 0x007d3ff8 region"
"U-5682","semantic","0x00556d70 (FUN_00556d70)","**OBJECT IDENTIFIED 2026-09-11, slot NAME still needs an external reference.** `DAT_007d3ff8` is a pointer to the structure at `DAT_007d3ec8`: two of its six writes store the literal address, `0x004c31e9 MOV dword ptr [0x007d3ff8],0x7d3ec8` and `0x004c32b7`, and the block itself is filled by `MOVSD.REP` at `0x004c307a` / `0x004c31cd` (see [[U-0091]]). So the object behind every `DAT_007d3ff8 + N` dispatch in the tree is that 300-byte block. **What this does NOT give is the RenderWare API name for the slot** - that needs RW headers or librw, not the binary, and guessing it from behaviour is the inference NO-GUESSING forbids (the same refusal as [[U-4707]]). Keeps gating; this is now the NEEDS-EXTERNAL lane. Slot in question: `+0x118`.","Cross-ref 0x007d3ff8 vtable against RW3 headers","search_constants 0x118 at 0x007d3ff8 region"
"U-5685","semantic","0x00556d70 (FUN_00556d70)","puVar1[0x1a] (offset 0x68): type of resource freed by FUN_004c5a60 when non-NULL unconfirmed","Decomp FUN_004c5a60; trace 0x1a writes in style-object users","decomp_function 0x004c5a60"
