rva	sub	name	lane	size	n_callees	n_blocking	blocking	arg_hint	n_callers_c2plus	notes
00550f20	util	RtFSHandler::WriteAsync	callee-blocked	296	1	1	00550740:C1	stack,eax-deref	0	piz_fsmanager_handler vtable+0x34; CreateEventA[0x005cc08c]+WriteFile[0x005cc1a0]+GetLastError[0x005cc0cc]; OVERLAPPED; see re/analysis/piz_fsmanager_handler/RE
004541e0	gameplay	FUN_004541e0	callee-blocked	307	3	1	004c1210:C1	stack,ecx-this,eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
0045e160	render	FUN_0045e160	callee-blocked	308	1	1	00546380:C1	stack	1	Track-0x24 audio waypoint init; 11 pts type 1; FUN_00546380→DAT_0068f618; clears S-0906 D-2645; C2 U-4372 batch-render-s3
004011f0	hud	FUN_004011f0	callee-blocked	325	9	1	004c15c0:C1	stack,ecx-this,eax-deref	1	 cup trophy per-frame transform update; called from FUN_004013f0 | batch-ae-s1
0044c5f0	render	FUN_0044c5f0	callee-blocked	328	5	1	00545d30:C1	stack,fpu	1	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
004ce480	render	FUN_004ce480	callee-blocked	333	2	1	004e1a90:C1	stack,ecx-this,eax-deref	2	batch_x s3 RW Image/Texture/Raster + D3D9 + IM3D; many plates carry direct RW catalog names (RwImageCreate, RwCameraFrustumTestSphere, etc.); C1->C2 batch-rende
004818d0	vehicle	FUN_004818d0	callee-blocked	339	6	1	0057c210:C1	stack,ecx-this,eax-deref,fpu	1	 velocity cap + over-speed trigger: compares vel_sq vs DAT_005cc990; sets flags 8/2 DAT_006c9438; explosion if DAT_006c6b90[i]>149999 | C1->C2 batch_ak sweep-20
0046da80	vehicle	VehicleTrackInteraction	callee-blocked	350	5	1	00538c80:C1	stack,ecx-this,eax-deref	1	wheel-contact + RW scene query + track-waypoint interaction; 349b; U-1413; C2 plate: re/analysis/vehicle_promote_c2/0046da80.md
004264d0	track	FUN_004264d0	callee-blocked	351	12	1	004e6e00:C1	stack,ecx-this,eax-deref	1	Track powerups loader: builds track piz path; loads powerups_gold.dff/.lua or powerups.lua by medal rank; gates on 0x0042fe30 medal-rank (==0→early return); pro
0048b960	particle	FUN_0048b960	callee-blocked	387	8	1	00544bf0:C1	stack,ecx-this,eax-deref,fpu	1	batch-ac-s4 C1->C2; top-level explosion tick (8-ring slot + 10 splash drops + calls b440+b7c0); U-3995
004955d0	boot	FUN_004955d0	callee-blocked	419	4	1	00551190:C1	stack,ecx-this	1	cluster_0049_first_pass batch_t-s3; input/DInput-adjacent confirmed (32 of 60 input/frontend); also includes render+video glue at 0x4942b0-0x4948 and rain parti
004d2c80	render	rwD3D8CameraTextureRasterCreate	callee-blocked	426	3	1	004ddcb0:C1	stack,ecx-this,eax-deref	0	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; creates D3D8 surface for rwRASTERTYPECAMERATEXTURE; strings rwRASTERTYPECAMERATEXTURE_can_no/Out_of_video_m
0045e2a0	render	FUN_0045e2a0	callee-blocked	440	1	1	00546380:C1	stack	1	Track-0 audio waypoint init; 15 pts type 2; FUN_00546380→DAT_0068f618; clears S-0905 D-2644; U-1962; C2 U-4373 batch-render-s3
004b6940	render	FUN_004b6940	callee-blocked	448	8	1	005507a0:C1	stack,eax-deref	1	PizOpenAndParse: zeros state; strncpy path; calls FUN_004b65e0+FUN_004b6710; reads dir into 0x0090dac0; sets DAT_007d3e4c=1; caller FUN_004b6570; batch-render-3
00420050	render	PerPlayerViewportRender	callee-blocked	474	13	1	004e4900:C1	stack,ecx-this,eax-deref	1	promoted_from=re/analysis/split_screen/00420050.md; per-player scene render; param_1=playerIndex 0..3; stride 0x2AC per-player struct at DAT_0063dc38; active fl
00457c10	gameplay	FUN_00457c10	callee-blocked	512	9	1	004e4450:C1	stack,ecx-this,eax-deref,fpu	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
004cf7d0	render	FUN_004cf7d0	callee-blocked	514	10	1	004e1b60:C1	stack,ecx-this	1	RwTexDictionaryStreamRead: FindChunk(1)+read-struct+platform-filter+Create(0x004c5890)+loop-FindChunk(0x15)+vtable[0xb0]+AddTexture(0x004c5bc0); returns dict pt
0048b230	particle	FUN_0048b230	callee-blocked	519	7	1	00544bf0:C1	stack,ecx-this,eax-deref	0	batch-ac-s4 C1->C2; 3-arg explosion/shockwave+wfall burst spawn (8-ring slot write + 15 sparks + 10 splash); U-3990
004556f0	gameplay	FUN_004556f0	callee-blocked	541	10	1	004c15c0:C1	stack,eax-deref,fpu	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
004cf5a0	render	FUN_004cf5a0	callee-blocked	545	12	1	004e1b60:C1	stack	0	RwTextureStreamRead; FindChunk+filter-save+name-read+lookup+plugins; catalog match; U-5161 U-5162
004270f0	render	CourseRenderFrame	callee-blocked	548	16	1	004e5660:C1	stack,ecx-this,eax-deref	1	689-byte per-frame dispatch: sky dome then RpWorldForAllAtomics (BSP) then rain particles; vtable +0x1c/+0x20 dispatch | batch-render-s1 plate at re/analysis/re
00479100	render	FUN_00479100	callee-blocked	551	2	1	00559040:C1	stack,ecx-this,eax-deref,fpu	1	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_00479100.md; U-4530; raycast+vertex-color sample on collision mesh
00471ec0	camera	sub_00471ec0	callee-blocked	643	9	1	0057c210:C1	stack,ecx-this,eax-deref,fpu	1	camera-anim trigger checker: 2-level nested loop over cam-anim entries; time-based and proximity-based trigger conditions; sets trigger flag and calls FUN_00471
004652b0	audio	FUN_004652b0	callee-blocked	742	6	1	005459c0:C1	stack,ecx-this,eax-deref,fpu	0	3-ch wind/speed SFX; +0x470 inv-speed vol; +0x590 clamped speed vol; +0x500 path-pos via FUN_005459c0(DAT_0068f618 10 blend); U-1086 | C1->C2 batch_ah sweep-202
004d2980	render	rwD3D8NativeTextureRasterCreate	callee-blocked	758	4	1	004ddcb0:C1	stack,ecx-this,eax-deref	0	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; creates D3D8 texture/volume surface; handles palettized (fmt 0x29) + normal; strings Failed_to_create_textu
00490020	render	FUN_00490020	callee-blocked	864	6	1	004e8090:C1	stack,ecx-this,eax-deref,fpu	3	particle spawn into clump pool: position/velocity/scale/clump; param_4=1/2 fetches player bone pos via FUN_0041f290 | batch-render-2-s4 plate at re/analysis/ren
00421d20	util	FUN_00421d20	callee-blocked	939	14	1	0055ae70:C1	stack,ecx-this,eax-deref,fpu	1	,particle effect spawner; 10-slot loop; 11× RandomFloat for velocity/color/scale per slot; sets *(param_1+0xf4)=1; DEFERRED D-8262
00480340	render	FUN_00480340	callee-blocked	992	15	1	004e6e00:C1	stack,eax-deref	1	scene physics init: 32 entries at DAT_0086cbcc stride 0x44d; type 1=box FUN_0047fc40 2=cylinder FUN_0047f940 3/4=mesh; U-0910 | batch-render-2-s3 plate at re/an
004752f0	render	FUN_004752f0	callee-blocked	1003	5	1	00532a60:C1	stack,ecx-this,eax-deref,fpu	3	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket batch-re
00404fa0	render	FUN_00404fa0	callee-blocked	1069	5	1	00532a60:C1	stack,ecx-this,eax-deref,fpu	1	promoted_from=re/analysis/game_state_d5_cont2/0x00404fa0.md; camera path interpolator; 620b; binary-search keyframes at stride 0x24; hermite tangent FUN_00546e7
00555af0	hud	FontCtx_LoadMetrics_Met	callee-blocked	1072	9	1	00550a20:C1	stack,ecx-this,eax-deref,fpu	1	C1->C2 batch-ae-s4; loads glyph metrics from .met text file; 5-int sscanf per glyph; 0x20-stride UV entries; calls FontCtx_BuildExtTable; U-5650 U-5651 U-5652
00408610	gameplay	FUN_00408610	callee-blocked	1073	9	1	00538c80:C1	stack,ecx-this,eax-deref,fpu	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00444b60	ai	FUN_00444b60	callee-blocked	1163	7	1	005586f0:C1	stack,eax-deref,fpu	0	spline debug visualizer: world-to-screen XZ projection; Catmull-Rom curve render; calls FUN_00443dc0 with debug=1 for lookahead marker; uses _DAT_007f1a58/_005c
00464e10	audio	FUN_00464e10	callee-blocked	1183	10	1	005459c0:C1	stack,ecx-this,eax-deref,fpu	0	crowd/spectator ambient; path-positioned ch +0x500 via FUN_005459c0(DAT_0068f618); speed-scaled ch +0x6b0; inverse-speed ch +0x470; periodic random crowd one-sh
0044e680	gameplay	FUN_0044e680	callee-blocked	1213	3	1	004e5fc0:C1	stack,ecx-this,eax-deref,fpu	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
004d4380	render	FUN_004d4380	callee-blocked	1412	6	1	004e2090:C1	stack,ecx-this,eax-deref	4	RW pipeline topo-sort+buffer-layout: validates pool; computes buf size (level_count*0xb4 floor); grows via FUN_004d4910; Kahn in-degree pass; FUN_004d4bf0 recur
004dfbc0	render	FUN_004dfbc0	callee-blocked	1805	11	1	004dee40:C1	stack,ecx-this,eax-deref	1	batch_v s3 renderware-d3d9-driver; rwimage-raster-format-conv + rwheap-allocator + csl-pipeline-nodes + rpgeometry/rpworld/rpatomic stream-codec + d3d9-vertex-d
00555ff0	hud	FontCtx_LoadMetrics_Atlas	callee-blocked	1932	12	1	00550a20:C1	stack,ecx-this,eax-deref,fpu	1	C1->C2 batch-ae-s4; loads glyph metrics by bitmap scan (METRICS3); UTF-8 multibyte decode; 4-round retry; UV from atlas pixel scan; U-5654 U-5655 U-5656
004b47c0	render	FUN_004b47c0	callee-blocked	30	2	2	0052e0e0:C1;00533ec0:C1	stack	0	2-step setter: FUN_0052e0e0(*(param_1+0x20), param_2) then FUN_00533ec0(param_1); no callers in Ghidra | batch-render-3-s3 plate at re/analysis/render_3_c1_to_c
004218b0	render	FUN_004218b0	callee-blocked	31	2	2	0057c220:C1;0057c300:C1	stack	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
00481750	vehicle	FUN_00481750	callee-blocked	39	2	2	0055b650:C1;0057c210:C1	stack,eax-deref	4	vehicle physics impulse wrapper: FUN_0057c210(DAT_006c9a78[p1]); guards on body+0x10+4; FUN_0055b650; 39b; depth-1-fill | C1->C2 batch_ak sweep-20260603-0116
0048ffd0	particle	FUN_0048ffd0	callee-blocked	41	2	2	004e6e00:C1;004e8090:C1	-	1	batch-ad-s1 C1->C2: teardown loop x30 structs stride 0x50; calls FUN_004e8090+FUN_004e6e00; S-4122 S-4123
00477580	render	FUN_00477580	callee-blocked	43	3	2	004e6920:C1;004e7e30:C1	eax-deref	1	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
0040bae0	gameplay	FUN_0040bae0	callee-blocked	44	2	2	004e89a0:C1;0053fb70:C1	stack	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00454bd0	render	FUN_00454bd0	callee-blocked	44	2	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
00452f00	gameplay	FUN_00452f00	callee-blocked	46	2	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
0045b360	gameplay	FUN_0045b360	callee-blocked	46	2	2	004e45b0:C1;004e4800:C1	-	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_an sweep-20260603-1259
00452ec0	gameplay	FUN_00452ec0	callee-blocked	51	2	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
0047f480	gameplay	FUN_0047f480	callee-blocked	56	3	2	0055dd60:C1;00562560:C1	-	1	batch_y s2 MIXED gameplay: vehicle-physics-core (0x00466100..0x0046dd90) + scripted-entity-bytecode (0x00471430..0x00474890) + scenery-actor-pool + WorldDestroy
005a5910	audio	FUN_005a5910	callee-blocked	62	3	2	0055df90:C1;00564190:C1	stack,ecx-this	0	batch_y s6 generic refcount/ctor-chain helpers (0x005a5910..0x005a5f60); support glue for the audio cluster that follows | C1->C2 batch_ah sweep-20260602-0245
0040baa0	gameplay	FUN_0040baa0	callee-blocked	63	2	2	0053fbb0:C1;0053fd30:C1	stack,eax-deref	0	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00454ff0	render	FUN_00454ff0	callee-blocked	64	3	2	004e45b0:C1;004e4800:C1	-	2	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
00454fa0	render	FUN_00454fa0	callee-blocked	75	3	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
00455fe0	render	FUN_00455fe0	callee-blocked	82	4	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_am sw
004547c0	gameplay	FUN_004547c0	callee-blocked	84	4	2	004e45b0:C1;004e4800:C1	-	2	EDI-implicit: loop×2 check EDI[0/1] non-zero→zero+FUN_00454170; zero EDI+8..+10; FUN_004b6520; zero +24+28; FUN_004e4800+FUN_004e45b0; S-1923 | C1->C2 batch_am 
00458020	gameplay	FUN_00458020	callee-blocked	90	4	2	004e45b0:C1;004e4800:C1	-	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
005512d0	util	RtFSHandler::Stat	callee-blocked	90	2	2	00551410:C1;00551460:C1	stack,ecx-this	0	piz_fsmanager_handler vtable+0x4c; GetFileAttributesA[0x005cc1b4]; return 0 if INVALID_FILE_ATTRIBUTES; see re/analysis/piz_fsmanager_handler/REPORT.md
00448820	render	FUN_00448820	callee-blocked	93	2	2	004c15c0:C1;004e6ab0:C1	stack,eax-deref	0	init 5 RW child frame slots from *(param1+0x1012c) -> DAT_00896460; C2 U-4363 batch-render-s3
0044caa0	render	FUN_0044caa0	callee-blocked	93	2	2	004c15c0:C1;004e6ab0:C1	stack,eax-deref	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
00479fb0	render	FUN_00479fb0	callee-blocked	98	3	2	004e6920:C1;004e7e30:C1	stack,eax-deref	0	batch-render-2-s2 plate at re/analysis/render_2_c1_to_c2_s2/FUN_00479fb0.md; U-4531; array-of-atomics destructor
00477870	render	FUN_00477870	callee-blocked	99	3	2	004e6e00:C1;005495b0:C1	ecx-this	1	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
004196f0	gameplay	FUN_004196f0	callee-blocked	109	6	2	004e6920:C1;004e6e00:C1	ecx-this	1	batch_v s1 hud-weapons-effects-and-particle-emitters; wheel-trail-decals + vehicle-icon sprite-batch + decal-color-grid + weapons subsystem (4 launchers + 4 mis
0048a3c0	particle	FUN_0048a3c0	callee-blocked	109	3	2	004e7e30:C1;005356f0:C1	stack,eax-deref	0	batch-ac-s3: C1->C2 mechanical; U-3972; S-4042 S-4043
00457ba0	gameplay	FUN_00457ba0	callee-blocked	110	2	2	004e45b0:C1;004e4800:C1	-	3	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
005a5b30	audio	FUN_005a5b30	callee-blocked	114	2	2	0055b060:C1;0055e300:C1	stack,ecx-this,eax-deref	0	batch_y s6 generic refcount/ctor-chain helpers (0x005a5910..0x005a5f60); support glue for the audio cluster that follows | C1->C2 batch_ah sweep-20260602-0245
00477500	render	FUN_00477500	callee-blocked	118	3	2	005492a0:C1;005493d0:C1	stack,fpu	1	batch_w s2 MIXED[gfx-particle-emitter+decal-shockwave-trail+geometry-plane-clip+anim-keyframe-interp+script-vm-handler-bank]; render-heavy mixed bucket | batch-
00496e40	boot	FUN_00496e40	callee-blocked	121	7	2	004eb3c0:C1;004eb9d0:C1	eax-deref	0	dual async-worker init: FUN_00496d60→DAT_00773094; FUN_004d4f00→obj; DAT_00773084=FUN_004ec750; FUN_004ec740(obj &LAB_00496e00); FUN_00496db0→DAT_00773088; para
00459400	gameplay	FUN_00459400	callee-blocked	128	2	2	004e89e0:C1;004e8a10:C1	stack,ecx-this,fpu	1	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
0044e240	gameplay	FUN_0044e240	callee-blocked	142	2	2	00557ec0:C1;00558030:C1	stack,ecx-this	1	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
004b47e0	render	FUN_004b47e0	callee-blocked	159	2	2	00532a60:C1;00532b80:C1	stack,ecx-this	6	keyframe-array sampler: stride 0x24; 3-branch (t<start/t<end/last); FUN_00532b80 lerp + FUN_00532a60 copy; 6 callers | batch-render-3-s3 plate at re/analysis/re
004d40d0	render	FUN_004d40d0	callee-blocked	159	2	2	004e1710:C1;004e2030:C1	stack,ecx-this,eax-deref	2	RW plugin dispatch gate: latches handle/staging-block/pipeline into DAT_00911ac0/ad0/ad4; calls vtable[+4]; pre-flush via FUN_004e1710 when param_3!=0; success 
00475830	render	FUN_00475830	callee-blocked	160	3	2	00557ec0:C1;00558030:C1	stack	0	10-slot setter callback: slots 0..4 from *(param_1+0x18) slots 5..9 from *(param_2+0x18) via FUN_00557ec0; calls FUN_00558100+FUN_00558030(DAT_006915fc); return
00448770	render	FUN_00448770	callee-blocked	165	4	2	004c15c0:C1;004e6ab0:C1	stack,ecx-this,eax-deref	0	init 3 RW frame slots from *(param1+0x1011c) -> DAT_00896490; C2 U-4362 batch-render-s3
004b6640	boot	FUN_004b6640	callee-blocked	180	3	2	005504d0:C1;00551330:C1	stack,ecx-this	1	alloc 0x58B block via vtable[0x108/4]; zero 22 dwords; write 8 label/fn-ptr slots; store param_1->DAT_007d3e50; puVar1->3 globals; U-3222 U-3223 U-3224; S-3212 
00448880	render	FUN_00448880	callee-blocked	184	4	2	004c15c0:C1;004e6ab0:C1	stack,ecx-this,eax-deref	0	init 3 RW child frame slots from *(param1+0x10128) -> DAT_00896480; C2 U-4364 batch-render-s3
00483ed0	vehicle	FUN_00483ed0	callee-blocked	193	11	2	004c0b30:C1;004c15c0:C1	stack,ecx-this,eax-deref	1	 create physics joint+2 shapes: FUN_004c77c0x2 shapes; FUN_004c0b30 body; FUN_004c1d30 joint; stiffness=0.1f limit=300.0f; 1 caller FUN_00484000 | C1->C2 batch_
004b48e0	render	FUN_004b48e0	callee-blocked	197	9	2	004c0b30:C1;004c15c0:C1	stack,ecx-this,eax-deref	1	4-resource compound ctor: alloc raster(0x505)+zbuf(1)+camera+frame; rollback on failure; out=(frame raster); sets raster+0x50=2; returns 1/0 | batch-render-3-s3
004cd430	render	FUN_004cd430	callee-blocked	198	6	2	004e12b0:C1;004e14a0:C1	stack,eax-deref	4	Im3D line submit 2 u16 indices: scratch-alloc 4b; LINE_LIST type=1 count=2; calls FUN_004d40d0; 4 callers | batch-render-5-s1 plate at re/analysis/render_5_c1_t
004768c0	render	FUN_004768c0	callee-blocked	211	4	2	004e6920:C1;004e7e30:C1	stack,ecx-this,eax-deref	17	batch-render-s6 C1->C2 2026-05-25; 0x40-byte batch descriptor dtor; FUN_004e7e30/004c0c20/004e6920/004b6520; 17 callers; U-4442
004cf4a0	render	FUN_004cf4a0	callee-blocked	244	6	2	004e1ce0:C1;004e1d20:C1	stack,eax-deref	0	RwTextureStreamWrite; write chunks+name+mask+plugins; catalog match; U-5160
0044f830	gameplay	FUN_0044f830	callee-blocked	305	7	2	0055ae70:C1;0057c210:C1	stack,eax-deref	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
00550da0	util	RtFSHandler::ReadAsync	callee-blocked	369	2	2	00550740:C1;00551550:C1	stack,eax-deref	0	piz_fsmanager_handler vtable+0x30; CreateEventA[0x005cc08c]+ReadFile[0x005cc1a4]+GetLastError[0x005cc0cc]; OVERLAPPED; see re/analysis/piz_fsmanager_handler/REP
00493710	render	FUN_00493710	callee-blocked	430	27	2	00550350:C1;005584c0:C1	stack,eax-deref	1	RW_INIT_FN; sequential RwEngineInit→RtFSManagerOpen→RwEngineOpen→RwEngineStart chain; returns 1 on full success; U-0067 U-0068 U-0071; S-0060..S-0067; C2->C3 ca
00558240	boot	FUN_00558240	callee-blocked	433	10	2	00558180:C1;00558400:C1	stack,ecx-this,eax-deref	0	alloc 2D tex(FUN_004c77c0); create RT(FUN_004cdca0); lock+fill(FUN_00558180+FUN_00558400); submit FUN_004d5310; [UNCERTAIN] dim formula; S-3333 S-3334 | C1->C2 
00555910	hud	LAB_00555910	callee-blocked	466	8	2	005507b0:C1;00550a20:C1	stack,ecx-this,eax-deref	0	font file loader / metrics parser; Ghidra analysis gap (no function defined); SUB ESP 0x188 prologue confirmed; stored at DAT_00913100 by FUN_00555360; U-5649 —
004c9ad0	render	FUN_004c9ad0	callee-blocked	499	7	2	004dc8e0:C1;004e08b0:C1	ecx-this,eax-deref	1	pre-reset resource release; clears RS cache DAT_006181c8; releases VB pool; SetTexture NULL stages 0-7; resets render targets+depthstencil; S-0701 D-2020 | batc
00481e00	vehicle	FUN_00481e00	callee-blocked	553	2	2	0055c000:C1;0057ca30:C1	stack,ecx-this,eax-deref,fpu	1	 cone-direction sample builder + multi-ray cast: lazy-inits 120-sample table DAT_006ce278; sweeps via FUN_0055c000; 1 caller FUN_004826d0 | C1->C2 batch_ak swee
004d3b00	render	rwD3D8RasterRecreate	callee-blocked	585	9	2	004de1b0:C1;004df120:C1	stack,ecx-this,eax-deref	0	cluster_004d_first_pass batch_t-s4; RW3 D3D8 raster; locks raster / blits pixels / Destroys+Creates with new format / restores pixels; device-reset path; caller
00458080	gameplay	FUN_00458080	callee-blocked	615	13	2	004e45b0:C1;004e4800:C1	stack,ecx-this,eax-deref	0	batch_x s1 projectile-and-pickup-pools; per-slot reset/lookup-release helpers around small gameplay pools (depthcharge/MP-vehicle-adjacent) | C1->C2 batch_an sw
00476df0	render	FUN_00476df0	callee-blocked	687	2	2	00535700:C1;00535910:C1	stack,ecx-this,eax-deref	19	flush batch pool to GPU VBs via FUN_00535700/00535910 (lock/unlock); 7 channels; resets count=0
00481a30	vehicle	FUN_00481a30	callee-blocked	861	15	2	004e6100:C1;0057c210:C1	stack,eax-deref,fpu	1	 per-frame vehicle water/zone loop: iterates DAT_006c6eb0 vehicles; water-zone proximity; calls FUN_004818d0+FUN_00487280 broadphase | C1->C2 batch_ak sweep-202
00488e70	util	FUN_00488e70	callee-blocked	888	7	2	00535700:C1;00535910:C1	stack,ecx-this,eax-deref,fpu	1	 dynamic VB fill shadow/reflection (~887b); 128 entries; FUN_00535700 stream ptrs; position+UV+color+normal per vertex; FUN_00535910 submit; D-7752
004064c0	gameplay	FUN_004064c0	callee-blocked	1167	12	2	0055ac00:C1;0057c210:C1	stack,ecx-this,eax-deref,fpu	1	batch_t s1 MULTI[copters-helicopter-npcs,projectile-smoke,ai-pathfinding,led-loader,score-rank,hud-vfx] | C1->C2 batch_al sweep-20260603-0334
00406ce0	util	FUN_00406ce0	callee-blocked	1532	22	2	0055ac00:C1;0057c210:C1	stack,ecx-this,eax-deref,fpu	1	 crowd/actor animation loop (~1403b); DAT_0063a5d0 entries stride 236b; anim step+RW frame update+velocity blend; matrix concat via FUN_004c4dc0; D-7722
00482820	vehicle	FUN_00482820	callee-blocked	56	4	3	0055af80:C1;0055afc0:C1;0055de20:C1	stack	1	 physics contact callback registrar: FUN_0055dec0 source; registers 3 callbacks LAB_004827a0/4827c0/482800; 1 caller FUN_0047f450 | C1->C2 batch_ak sweep-202606
0044e2d0	gameplay	FUN_0044e2d0	callee-blocked	60	4	3	004c0b30:C1;004e69a0:C1;004e7e30:C1	-	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427
00484310	debug-overlay	FUN_00484310	callee-blocked	68	3	3	004e5660:C1;004e5820:C1;004e5840:C1	-	0	cluster_0048_first_pass batch_u-s4; debug-overlay init: installs DAT_006cf070 fn-ptr via FUN_004e5840+5820+5660 chain | C1->C2 batch_aj sweep-20260602-1945
0041e0d0	boot	FUN_0041e0d0	callee-blocked	84	4	3	004e6920:C1;004e6e00:C1;004e7e30:C1	eax-deref	1	promoted_from=re/analysis/boot_app_init_d5/0x0041e0d0.md; batch_u_s5_2026-05-18; nested loop 3x11: FUN_004e7e30+FUN_004e6920+FUN_004c0c20 on 0063d610; then FUN_
004b4150	render	FUN_004b4150	callee-blocked	93	3	3	005493d0:C1;00549610:C1;00549620:C1	stack,ecx-this	1	batch_aa s1 locked singleton-fill; FUN_005493d0 lookup; lock/fill/unlock; fills iVar2 dwords at iVar1 with *param_2 (or 0xffffffff if NULL); | batch-render-3-s2
0044c8b0	render	FUN_0044c8b0	callee-blocked	99	4	3	004e4450:C1;004e4800:C1;004e6ab0:C1	stack	0	batch_y s1 powerup-bezier-adjacent + per-player-audio-slot-subdomain; gameplay effect/audio glue around player slots | C1->C2 batch_am sweep-20260603-0427 | rec
0047d080	physics	FUN_0047d080	callee-blocked	105	4	3	00559c40:C1;00559ee0:C1;0057c210:C1	stack,eax-deref	9	104b activate physics body; DAT_006c71d8[p1] guard; FUN_0057c210; FUN_00559c40 or FUN_00559ee0 on p2; bits 2-3 clear mask 0xfffffff3; U-2500 U-2501; D-5748 trac
004540c0	powerups	DepthChargePerFrameTeardown	callee-blocked	109	4	3	004c1210:C1;004e6920:C1;004e6e00:C1	-	0	type table +0x1c fn for DepthCharge; 2 loops over DC arrays calling FUN_004e6e00/004c1210/004c0c20/004e6920 | C1->C2 batch_aj sweep-20260602-1945
0041ecc0	render	FUN_0041ecc0	callee-blocked	122	3	3	0053fba0:C1;0053fbb0:C1;0053fea0:C1	stack,ecx-this,eax-deref	1	batch_w s1 MIXED[player-slot-state-accessors+gameplay-math-leaves]; small getters/setters + arithmetic leaves around player/vehicle slot state | C1->C2 batch_am
